Datum;Kampany;Hirdetes_Sorozat;Kreativ_Nev;Hirdetes_ID;Koltes_HUF;Megjelenes;Eleres;Gyakorisag;Osszes_Kattintas;Link_Kattintas;CTR_Szazalek;CPC_HUF;CPM_HUF;Vasarlas_DB;Bevetel_HUF;CPA_HUF;ROAS
2026-08-12;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;247;132;104;1.27;7;5;5.3;35;1871;0;0;0;0.0
2026-08-12;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;264;154;116;1.33;11;5;7.14;24;1714;0;0;0;0.0
2026-08-12;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1078;599;445;1.35;20;7;3.34;54;1800;0;0;0;0.0
2026-08-11;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;31;11;10;1.1;1;0;9.09;31;2818;0;0;0;0.0
2026-08-11;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;514;492;342;1.44;17;6;3.46;30;1045;0;0;0;0.0
2026-08-11;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1646;1201;870;1.38;44;24;3.66;37;1371;0;0;0;0.0
2026-08-10;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;54;52;48;1.08;8;3;15.38;7;1038;0;0;0;0.0
2026-08-10;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;459;327;259;1.26;6;4;1.83;76;1404;0;0;0;0.0
2026-08-10;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1774;1112;795;1.4;41;15;3.69;43;1595;0;0;0;0.0
2026-08-09;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;7;4;3;1.33;1;1;25.0;7;1750;0;0;0;0.0
2026-08-09;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;668;554;414;1.34;21;12;3.79;32;1206;0;0;0;0.0
2026-08-09;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;2639;1190;934;1.27;57;29;4.79;46;2218;0;0;0;0.0
2026-08-08;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;22;7;7;1.0;1;0;14.29;22;3143;0;0;0;0.0
2026-08-08;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;428;312;243;1.28;12;8;3.85;36;1372;0;0;0;0.0
2026-08-08;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1556;687;550;1.25;39;22;5.68;40;2265;0;0;0;0.0
2026-08-07;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;160;97;80;1.21;6;4;6.19;27;1649;0;0;0;0.0
2026-08-07;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;351;212;162;1.31;7;4;3.3;50;1656;0;0;0;0.0
2026-08-07;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;1813;555;424;1.31;33;15;5.95;55;3267;0;0;0;0.0
2026-08-06;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;44;25;22;1.14;5;3;20.0;9;1760;0;0;0;0.0
2026-08-06;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;601;432;310;1.39;20;7;4.63;30;1391;0;0;0;0.0
2026-08-06;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;2190;939;654;1.44;54;30;5.75;41;2332;1;7990;2190;3.65
2026-08-05;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;72;66;60;1.1;10;4;15.15;7;1091;0;0;0;0.0
2026-08-05;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;81;49;46;1.07;1;1;2.04;81;1653;0;0;0;0.0
2026-08-05;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;631;436;368;1.18;16;5;3.67;39;1447;0;0;0;0.0
2026-08-05;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;3121;1305;998;1.31;68;28;5.21;46;2392;0;0;0;0.0
2026-08-04;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;10;9;8;1.12;2;2;22.22;5;1111;0;0;0;0.0
2026-08-04;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;119;155;127;1.22;6;3;3.87;20;768;0;0;0;0.0
2026-08-04;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;403;140;132;1.06;7;2;5.0;58;2879;0;0;0;0.0
2026-08-04;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;949;479;401;1.19;32;15;6.68;30;1981;0;0;0;0.0
2026-08-03;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;4;3;2;1.5;0;0;0.0;0;1333;0;0;0;0.0
2026-08-03;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.01 - Termék V4 – másolat;120252706747110274;110;69;66;1.05;1;0;1.45;110;1594;0;0;0;0.0
2026-08-03;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;466;428;303;1.41;26;11;6.07;18;1089;0;0;0;0.0
2026-08-03;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;1390;1282;1029;1.25;67;29;5.23;21;1084;0;0;0;0.0
2026-08-02;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;633;583;443;1.32;27;12;4.63;23;1086;0;0;0;0.0
2026-08-02;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;2310;1186;932;1.27;77;35;6.49;30;1948;0;0;0;0.0
2026-08-01;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;541;441;342;1.29;17;6;3.85;32;1227;0;0;0;0.0
2026-08-01;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;2999;1667;1223;1.36;102;51;6.12;29;1799;0;0;0;0.0
2026-07-31;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;17;12;12;1.0;3;2;25.0;6;1417;0;0;0;0.0
2026-07-31;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;513;446;331;1.35;27;12;6.05;19;1150;0;0;0;0.0
2026-07-31;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;2005;1497;1134;1.32;92;50;6.15;22;1339;0;0;0;0.0
2026-07-30;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;6;12;12;1.0;0;0;0.0;0;500;0;0;0;0.0
2026-07-30;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;428;449;314;1.43;32;15;7.13;13;953;0;0;0;0.0
2026-07-30;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;842;470;378;1.24;36;22;7.66;23;1791;0;0;0;0.0
2026-07-29;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.02 TÚRÁZÓ V5;120252706205870274;5;6;6;1.0;1;0;16.67;5;833;0;0;0;0.0
2026-07-29;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.02 TÚRÁZÓ V5;120252265398080274;13;9;9;1.0;1;0;11.11;13;1444;0;0;0;0.0
2026-07-29;Nagy-Kevély csillagai;01 - Prospecting (LAL 1-2% + Kizárások) - Hideg – másolat;01.02 TÚRÁZÓ V5 – másolat;120252706747120274;202;148;126;1.17;22;10;14.86;9;1365;0;0;0;0.0
2026-07-29;Nagy-Kevély csillagai - Retargeting;02 - Retargeting (Web & Social meleg lista) - Meleg – másolat;02.01 - Termék V4;120252706205900274;218;219;191;1.15;17;6;7.76;13;995;0;0;0;0.0
2026-07-29;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.01 - Termék V4;120252265398090274;683;750;639;1.17;55;22;7.33;12;911;0;0;0;0.0
2026-07-28;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.01 - Termék V4;120252265398090274;2157;2527;1840;1.37;145;53;5.74;15;854;3;23970;719;11.11
2026-07-27;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.02 TÚRÁZÓ V5;120252265398080274;157;69;62;1.11;9;2;13.04;17;2275;0;0;0;0.0
2026-07-27;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.01 - Termék V4;120252265398090274;3144;2917;2074;1.41;230;91;7.88;14;1078;4;31960;786;10.17
2026-07-26;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.02 TÚRÁZÓ V5;120252265398080274;0;0;0;0.0;0;0;0.0;0;0;0;0;0;0
2026-07-26;Nagy-Kevély csillagai;02 - Retargeting (Web & Social meleg lista) - Meleg;02.01 - Termék V4;120252265398090274;1751;1491;1223;1.22;125;64;8.38;14;1174;4;47940;438;27.38
